name,base_data,new_data
subversion,['1.9.7-4ubuntu1.1'],['1.9.7-4ubuntu1']
systemd,['237-3ubuntu10.53' '7.16.3'],['237-3ubuntu10.45']
systemd-sysv,['237-3ubuntu10.53'],['237-3ubuntu10.45']
tar,['1.29b-2ubuntu0.3'],['1.29b-2ubuntu0.2']
tcpdump,['4.9.3-0ubuntu0.18.04.2'],['4.9.3-0ubuntu0.18.04.1']
tzdata,['2022c-0ubuntu0.18.04.0'],['2021a-0ubuntu0.18.04']
ubuntu-advantage-tools,['27.10.1~18.04.1' '27.10'],['17']
ubuntu-release-upgrader-core,['1:18.04.45'],['1:18.04.42']
udev,['237-3ubuntu10.53'],['237-3ubuntu10.45']
ufw,['0.36-0ubuntu0.18.04.2'],['0.36-0ubuntu0.18.04.1']
uidmap,['1:4.5-1ubuntu2.3'],['1:4.5-1ubuntu2']
unicode-display_width,['2.1.0'],['1.1.0']
update-notifier-common,['3.192.1.12'],['3.192.1.9']
urllib3,[],['1.26.4']
vim,['2:8.0.1453-1ubuntu1.8'],['2:8.0.1453-1ubuntu1.4']
vim-common,['2:8.0.1453-1ubuntu1.8'],['2:8.0.1453-1ubuntu1.4']
vim-runtime,['2:8.0.1453-1ubuntu1.8'],['2:8.0.1453-1ubuntu1.4']
vim-tiny,['2:8.0.1453-1ubuntu1.8'],['2:8.0.1453-1ubuntu1.4']
virtualenv,['20.15.1'],['15.1.0']
wagon-file,['3.5.1'],['3.3.4']
wagon-http-shared,['3.5.1'],[]
wagon-provider-api,['3.5.1'],[]
wheel,['0.37.1'],['0.36.2']
xxd,['2:8.0.1453-1ubuntu1.8'],['2:8.0.1453-1ubuntu1.4']
xz-utils,['5.2.2-1.3ubuntu0.1'],['5.2.2-1.3']
zipp,['1.2.0' '3.8.1' '3.6.0'],['3.4.1']
zlib1g,['1:1.2.11.dfsg-0ubuntu2.2'],['1:1.2.11.dfsg-0ubuntu2']
zlib1g-dev,['1:1.2.11.dfsg-0ubuntu2.2'],['1:1.2.11.dfsg-0ubuntu2']
