name,version,licenses
libmemcached-dev,['1.0.18-4.2ubuntu0.18.04.1'],['[BSD-3-clause BSD-3-clause-Sun BSD-3-clause-TangentOrg Bob-Jenkins Paul-Hsieh RSA-Data-Security]']
libmemcached11,['1.0.18-4.2ubuntu0.18.04.1'],['[BSD-3-clause BSD-3-clause-Sun BSD-3-clause-TangentOrg Bob-Jenkins Paul-Hsieh RSA-Data-Security]']
libmemcachedutil2,['1.0.18-4.2ubuntu0.18.04.1'],['[BSD-3-clause BSD-3-clause-Sun BSD-3-clause-TangentOrg Bob-Jenkins Paul-Hsieh RSA-Data-Security]']
libmhash-dev,['0.9.9.9-7'],['[LGPL-2]']
libmhash2,['0.9.9.9-7'],['[LGPL-2]']
libmng2,['2.0.2-0ubuntu3'],['[BSD]']
libmpx2,['8.4.0-1ubuntu1~18.04'],['[Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL]']
libmsgpackc2,['2.1.5-1'],['[Boost-1 GPL-2 GPL-2+ GPL-3 MIT/X11]']
libmspack0,['0.6-3ubuntu0.3'],['[LGPL-2.1]']
libncursesw5-dev,['6.1-1ubuntu1.18.04'],['[]']
libnl-3-200,['3.2.29-0ubuntu3'],['[GPL-2 LGPL-2.1]']
libnl-genl-3-200,['3.2.29-0ubuntu3'],['[GPL-2 LGPL-2.1]']
libnotify4,['0.7.7-3ubuntu0.18.04.1'],['[LGPL-2.1]']
libopenexr-dev,['2.2.0-11.1ubuntu1.9'],['[openexr]']
libopenexr22,['2.2.0-11.1ubuntu1.9'],['[openexr]']
libossp-uuid-dev,['1.6.2-1.5build4'],['[]']
libossp-uuid16,['1.6.2-1.5build4'],['[]']
libpango-1.0-0,['1.40.14-1ubuntu0.1'],['[LGPL-2 LGPL-2.1]']
libpango1.0-0,['1.40.14-1ubuntu0.1'],['[LGPL-2 LGPL-2.1]']
libpangocairo-1.0-0,['1.40.14-1ubuntu0.1'],['[LGPL-2 LGPL-2.1]']
libpangoft2-1.0-0,['1.40.14-1ubuntu0.1'],['[LGPL-2 LGPL-2.1]']
libpangox-1.0-0,['0.0.2-5'],['[LGPL-2]']
libpangoxft-1.0-0,['1.40.14-1ubuntu0.1'],['[LGPL-2 LGPL-2.1]']
libpciaccess0,['0.14-1'],['[GPL]']
libpcre2-8-0,['10.31-2'],['[]']
libpixman-1-0,['0.34.0-2'],['[]']
libpixman-1-dev,['0.34.0-2'],['[]']
libproxy1v5,['0.4.15-1ubuntu0.2'],['[GPL LGPL-2.1]']
