name,version,licenses
github.com/armon/go-proxyproto,v0.0.0-20210323213023-7e956b284f0a,[]
github.com/armon/go-proxyproto,v0.0.0-20210323213023-7e956b284f0a,[]
github.com/asaskevich/govalidator,v0.0.0-20210307081110-f21760c49a8d,[]
github.com/aws/aws-sdk-go-v2,v1.16.14,[]
github.com/aws/aws-sdk-go-v2/config,v1.17.5,[]
github.com/aws/aws-sdk-go-v2/credentials,v1.12.18,[]
github.com/aws/aws-sdk-go-v2/feature/ec2/imds,v1.12.15,[]
github.com/aws/aws-sdk-go-v2/internal/configsources,v1.1.21,[]
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,v2.4.15,[]
github.com/aws/aws-sdk-go-v2/internal/ini,v1.3.22,[]
github.com/aws/aws-sdk-go-v2/service/ecr,v1.15.0,[]
github.com/aws/aws-sdk-go-v2/service/ecrpublic,v1.12.0,[]
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,v1.9.15,[]
github.com/aws/aws-sdk-go-v2/service/sso,v1.11.21,[]
github.com/aws/aws-sdk-go-v2/service/ssooidc,v1.13.3,[]
github.com/aws/aws-sdk-go-v2/service/sts,v1.16.17,[]
github.com/aws/smithy-go,v1.13.2,[]
github.com/awslabs/amazon-ecr-credential-helper/ecr-login,v0.0.0-20220517224237-e6f29200ae04,[]
github.com/blang/semver,v3.5.1+incompatible,[]
github.com/bmatcuk/doublestar/v4,v4.0.2,[]
github.com/canonical/candid,v1.11.0,[]
github.com/canonical/go-dqlite,v1.10.3-0.20220104182624-3491db06d32b,[]
github.com/canonical/go-dqlite,v1.10.3-0.20220104182624-3491db06d32b,[]
github.com/canonical/go-efilib,v0.0.0-20210909101908-41435fa545d4,[]
github.com/canonical/go-efilib,v0.0.0-20210909101908-41435fa545d4,[]
github.com/canonical/go-efilib,v0.0.0-20210909101908-41435fa545d4,[]
github.com/canonical/go-sp800.108-kdf,v0.0.0-20210314145419-a3359f2d21b9,[]
github.com/canonical/go-sp800.108-kdf,v0.0.0-20210314145419-a3359f2d21b9,[]
github.com/canonical/go-sp800.108-kdf,v0.0.0-20210314145419-a3359f2d21b9,[]
github.com/canonical/go-sp800.90a-drbg,v0.0.0-20210314144037-6eeb1040d6c3,[]
github.com/canonical/go-sp800.90a-drbg,v0.0.0-20210314144037-6eeb1040d6c3,[]
github.com/canonical/go-sp800.90a-drbg,v0.0.0-20210314144037-6eeb1040d6c3,[]
github.com/canonical/go-sp800.90a-drbg,v0.0.0-20210314144037-6eeb1040d6c3,[]
github.com/canonical/go-tpm2,v0.0.0-20210827151749-f80ff5afff61,[]
github.com/canonical/go-tpm2,v0.0.0-20210827151749-f80ff5afff61,[]
github.com/canonical/go-tpm2,v0.0.0-20210827151749-f80ff5afff61,[]
github.com/canonical/tcglog-parser,v0.0.0-20210824131805-69fa1e9f0ad2,[]
github.com/canonical/tcglog-parser,v0.0.0-20210824131805-69fa1e9f0ad2,[]
github.com/canonical/tcglog-parser,v0.0.0-20210824131805-69fa1e9f0ad2,[]
github.com/chrismellard/docker-credential-acr-env,v0.0.0-20220119192733-fe33c00cee21,[]
github.com/clbanning/mxj/v2,v2.5.6,[]
github.com/common-nighthawk/go-figure,v0.0.0-20210622060536-734e95fb86be,[]
github.com/containerd/containerd,v1.5.13,[]
github.com/containerd/stargz-snapshotter/estargz,v0.12.0,[]
github.com/coreos/go-oidc/v3,v3.4.0,[]
github.com/coreos/go-systemd,v0.0.0-20180511133405-39ca1b05acc7,[]
github.com/coreos/go-systemd,v0.0.0-20180511133405-39ca1b05acc7,[]
github.com/cpuguy83/go-md2man/v2,v2.0.1,[]
github.com/cpuguy83/go-md2man/v2,v2.0.1,[]
github.com/cyberphone/json-canonicalization,v0.0.0-20210823021906-dc406ceaf94b,[]
github.com/davecgh/go-spew,v1.1.1,[]
github.com/davecgh/go-spew,v1.1.1,[]
github.com/davecgh/go-spew,v1.1.1,[]
github.com/digitalocean/go-libvirt,v0.0.0-20210723161134-761cfeeb5968,[]
github.com/digitalocean/go-qemu,v0.0.0-20210326154740-ac9e0b687001,[]
github.com/digitalocean/go-smbios,v0.0.0-20180907143718-390a4f403a8e,[]
github.com/dimchansky/utfbom,v1.1.1,[]
github.com/docker/cli,v20.10.17+incompatible,[]
github.com/docker/distribution,v2.8.1+incompatible,[]
github.com/docker/docker,v20.10.17+incompatible,[]
github.com/docker/docker-credential-helpers,v0.6.4,[]
github.com/docker/go-connections,v0.4.0,[]
github.com/docker/go-units,v0.4.0,[]
github.com/dsnet/compress,v0.0.2-0.20210315054119-f66993602bf5,[]
github.com/dustin/go-humanize,v1.0.0,[]
github.com/dustinkirkland/golang-petname,v0.0.0-20191129215211-8e5a1ed0cff0,[]
github.com/facebookincubator/nvdtools,v0.1.4,[]
github.com/flosch/pongo2,v0.0.0-20200913210552-0d938eb266f3,[]
github.com/flosch/pongo2,v0.0.0-20200913210552-0d938eb266f3,[]
github.com/flosch/pongo2,v0.0.0-20200913210552-0d938eb266f3,[]
github.com/flosch/pongo2,v0.0.0-20200913210552-0d938eb266f3,[]
github.com/flosch/pongo2,v0.0.0-20200913210552-0d938eb266f3,[]
github.com/flosch/pongo2,v0.0.0-20200913210552-0d938eb266f3,[]
github.com/fsnotify/fsnotify,v1.5.1,[]
github.com/fsnotify/fsnotify,v1.5.1,[]
github.com/fsnotify/fsnotify,v1.5.4,[]
github.com/fvbommel/sortorder,v1.0.2,[]
github.com/gabriel-vasile/mimetype,v1.4.0,[]
github.com/ghodss/yaml,v1.0.0,[]
github.com/ghodss/yaml,v1.0.0,[]
github.com/go-chi/chi,v4.1.2+incompatible,[]
github.com/go-logr/logr,v1.2.3,[]
github.com/go-macaroon-bakery/macaroonpb,v1.0.0,[]
github.com/go-macaroon-bakery/macaroonpb,v1.0.0,[]
github.com/go-macaroon-bakery/macaroonpb,v1.0.0,[]
github.com/go-macaroon-bakery/macaroonpb,v1.0.0,[]
github.com/go-macaroon-bakery/macaroonpb,v1.0.0,[]
github.com/go-macaroon-bakery/macaroonpb,v1.0.0,[]
github.com/go-openapi/analysis,v0.21.4,[]
github.com/go-openapi/errors,v0.20.3,[]
github.com/go-openapi/jsonpointer,v0.19.5,[]
github.com/go-openapi/jsonreference,v0.20.0,[]
github.com/go-openapi/loads,v0.21.2,[]
github.com/go-openapi/runtime,v0.24.1,[]
github.com/go-openapi/spec,v0.20.7,[]
github.com/go-openapi/strfmt,v0.21.3,[]
github.com/go-openapi/swag,v0.22.3,[]
github.com/go-openapi/validate,v0.22.0,[]
github.com/go-playground/locales,v0.14.0,[]
github.com/go-playground/universal-translator,v0.18.0,[]
github.com/go-playground/validator/v10,v10.11.0,[]
github.com/go-restruct/restruct,v1.2.0-alpha,[]
github.com/go-stack/stack,v1.8.1,[]
github.com/go-stack/stack,v1.8.1,[]
github.com/go-stack/stack,v1.8.1,[]
github.com/go-stack/stack,v1.8.1,[]
github.com/go-stack/stack,v1.8.1,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/godbus/dbus,v0.0.0-20190726142602-4481cbc300e2,[]
github.com/gogo/protobuf,v1.3.2,[]
github.com/golang-jwt/jwt/v4,v4.4.2,[]
github.com/golang/glog,v1.0.0,[]
github.com/golang/groupcache,v0.0.0-20210331224755-41bb18bfe9da,[]
github.com/golang/protobuf,v1.5.2,[]
github.com/golang/protobuf,v1.5.2,[]
github.com/golang/protobuf,v1.5.2,[]
github.com/golang/protobuf,v1.5.2,[]
github.com/golang/protobuf,v1.5.2,[]
github.com/golang/protobuf,v1.5.2,[]
github.com/golang/protobuf,v1.5.2,[]
github.com/golang/snappy,v0.0.4,[]
github.com/google/certificate-transparency-go,v1.1.3,[]
github.com/google/go-cmp,v0.5.9,[]
github.com/google/go-containerregistry,v0.11.0,[]
github.com/google/go-github/v45,v45.2.0,[]
github.com/google/go-querystring,v1.1.0,[]
github.com/google/gofuzz,v1.2.0,[]
github.com/google/gopacket,v1.1.19,[]
github.com/google/renameio,v1.0.1,[]
github.com/google/renameio,v1.0.1,[]
github.com/google/trillian,v1.5.0,[]
github.com/google/uuid,v1.3.0,[]
github.com/google/uuid,v1.3.0,[]
github.com/google/uuid,v1.3.0,[]
github.com/google/uuid,v1.3.0,[]
github.com/google/uuid,v1.3.0,[]
github.com/google/uuid,v1.3.0,[]
github.com/google/uuid,v1.3.0,[]
github.com/googleapis/enterprise-certificate-proxy,v0.1.0,[]
github.com/googleapis/gnostic,v0.5.5,[]
github.com/gookit/color,v1.4.2,[]
github.com/gorilla/mux,v1.7.4-0.20190701202633-d83b6ffe499a,[]
github.com/gorilla/mux,v1.7.4-0.20190701202633-d83b6ffe499a,[]
github.com/gorilla/mux,v1.8.0,[]
github.com/gorilla/mux,v1.8.0,[]
github.com/gorilla/websocket,v1.4.2,[]
